Days "RA offset (mas)" "Dec offset (mas)"
0.0 -430.342437056 -429.45
18.2625 -413.985034424 -454.977314176
36.525 -385.624532704 -476.604585044
54.7875 -347.053585044 -490.813532704
73.05 -301.064314176 -494.812034424
91.3125 -251.175 -486.807437056
109.575 -201.285685824 -466.182034424
127.8375 -155.296414956 -433.553532704
146.1 -116.725467296 -390.714585044
164.3625 -88.3649655762 -340.457314176
182.625 -72.0075629441 -286.3
200.8875 -68.2709655762 -232.142685824
219.15 -76.5374672956 -181.885414956
237.4125 -95.0144149564 -139.046467296
255.675 -120.909685824 -106.417965576
273.9375 -150.705 -85.7925629441
292.2 -180.500314176 -77.7879655762
310.4625 -206.395585044 -81.7864672956
328.725 -224.872532704 -95.9954149564
346.9875 -233.139034424 -117.622685824
365.25 -229.402437056 -143.15
383.5125 -213.045034424 -168.677314176
401.775 -184.684532704 -190.304585044
420.0375 -146.113585044 -204.513532704
438.3 -100.124314176 -208.512034424
456.5625 -50.235 -200.507437056
474.825 -0.345685823554 -179.882034424
493.0875 45.6435850436 -147.253532704
511.35 84.2145327044 -104.414585044
529.6125 112.575034424 -54.1573141764
547.875 128.932437056 1.46070674773e-12
566.1375 132.669034424 54.1573141764
584.4 124.402532704 104.414585044
602.6625 105.925585044 147.253532704
620.925 80.0303141764 179.882034424
639.1875 50.235 200.507437056
657.45 20.4396858236 208.512034424
675.7125 -5.45558504357 204.513532704
693.975 -23.9325327044 190.304585044
712.2375 -32.1990344238 168.677314176
730.5 -28.4624370559 143.15
748.7625 -12.1050344238 117.622685824
767.025 16.2554672956 95.9954149564
785.2875 54.8264149564 81.7864672956
803.55 100.815685824 77.7879655762
821.8125 150.705 85.7925629441
840.075 200.594314176 106.417965576
858.3375 246.583585044 139.046467296
876.6 285.154532704 181.885414956
894.8625 313.515034424 232.142685824
913.125 329.872437056 286.3
931.3875 333.609034424 340.457314176
949.65 325.342532704 390.714585044
967.9125 306.865585044 433.553532704
986.175 280.970314176 466.182034424
